InstrumentID,Ticker,PriceSource
2053,MKS.L,LSE PLC
2054,MNDI.L,LSE PLC
2055,MRO.L,LSE PLC
2056,MRW.L,LSE PLC
2057,NG.L,LSE PLC
2058,NXT.L,LSE PLC
2059,OML.L,LSE PLC
2060,PFC.L,LSE PLC
2061,PRU.L,LSE PLC
2062,PSN.L,LSE PLC
2063,PSON.L,LSE PLC
2064,RKT.L,LSE PLC
2065,NWG.L,LSE PLC
2066,RDSA.L,LSE PLC
2067,CA165.L,LSE PLC
2068,REL.L,LSE PLC
2069,REX.L,LSE PLC
2070,RIO.L,LSE PLC
2071,IDS.L,LSE PLC
2072,RR.L,LSE PLC
2073,RRS.L,LSE PLC
2074,RSA.L,LSE PLC
2075,RSL.L,LSE PLC
2076,SAB.L,LSE PLC
2077,SBRY.L,LSE PLC
2078,SDR.L,LSE PLC
2079,SGE.old,LSE PLC
2080,SHP.L,LSE PLC
2081,ABDN.L,LSE PLC
2082,SMIN.L,LSE PLC
2083,SN.L,LSE PLC
2084,FRAS,LSE PLC
2085,SSE.L,LSE PLC
2086,STAN.L,LSE PLC
2087,SVT.L,LSE PLC
2088,TATE.L,LSE PLC
2089,TLW.L,LSE PLC
2090,TPK.L,LSE PLC
2091,TSCO.L,LSE PLC
2092,TT.L,LSE PLC
2093,ULVR.L,LSE PLC
2094,UU.L,LSE PLC
2095,VOD.l.OLD,LSE PLC
2096,WEIR.L,LSE PLC
2097,WMH.L,LSE PLC
2098,FERG.L,LSE PLC
2099,WPP.L,LSE PLC
2100,WTB.L,LSE PLC
2101,DMGT.L,LSE PLC
2102,III,LSE PLC
2104,NETC.CO,Xignite
2105,RECSI.OL,Xignite
2106,KAHOT.OL,Xignite
2107,ADE.OL,Xignite
2108,BAKKA.OL,Xignite
2109,IBC6.DE11,Xetra
2110,BA.L,LSE PLC
2111,CRH.L,LSE PLC
2112,IHG.L,LSE PLC
2113,SGE.L,LSE PLC
2114,BOO.L,LSE PLC
2115,MNG.L,LSE PLC
2116,THG.L,LSE PLC
2117,ITM.L,LSE PLC
2118,DARK.L,LSE PLC
2119,FUTR.L,LSE PLC
2120,AAF.L,LSE PLC
